----------Calculation 1: 101001010111 * 101000101----------
Step 0185: State=32, Head=35, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0186: State=32, Head=34, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0187: State=32, Head=33, Tape=BBBBBBBBBBByxB10100101011#B1010001yxBBBBBBBBBBBBBBBBBBBB
Step 0188: State=50, Head=32, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0189: State=50, Head=31, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0190: State=50, Head=30, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0191: State=50, Head=29, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0192: State=50, Head=28, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0193: State=50, Head=27, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0194: State=50, Head=26, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0195: State=51, Head=25, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0196: State=52, Head=24, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0197: State=52, Head=23, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0198: State=52, Head=22, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0199: State=52, Head=21, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0200: State=52, Head=20, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0201: State=52, Head=19, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0202: State=52, Head=18, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0203: State=52, Head=17, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0204: State=52, Head=16, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0205: State=52, Head=15, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0206: State=52, Head=14, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0207: State=52, Head=13, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0208: State=53, Head=12, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0209: State=53, Head=11, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0210: State=53, Head=10, Tape=BBBBBBBBBBByxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0211: State=55, Head=11, Tape=BBBBBBBBBBxyxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0212: State=55, Head=12, Tape=BBBBBBBBBBxyxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0213: State=55, Head=13, Tape=BBBBBBBBBBxyxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0214: State=56, Head=14, Tape=BBBBBBBBBBxyxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0215: State=57, Head=15, Tape=BBBBBBBBBBxyxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0216: State=57, Head=16, Tape=BBBBBBBBBBxyxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
Step 0217: State=57, Head=17, Tape=BBBBBBBBBBxyxB10100101011#B101000xyxBBBBBBBBBBBBBBBBBBBB
